,ID,Price,Address,City,State,ZipCode,Latitude,Longitude,Category,Beds,Baths,SqFt,UnSqFt,LotSize,YearBuilt,YearReno
0,/WA/Bellevue/1824-175th-Pl-NE-98008/home/502494,899000,1824 175th Place NE,Bellevue,WA,98008,47.6273965,-122.1059528,Single Family Residential,5,2.5,2460,1000,0.28,1968,
1,/WA/Redmond/18200-NE-110th-St-98052/home/18659382,1100000,18200 NE 110th St,Redmond,WA,98052,47.6982269,-122.0969747,Single Family Residential,3,2.5,2950,0,0.09,2008,
2,/WA/Redmond/17476-NE-40th-Pl-98052/unit-G-2/home/103959167,650000,17476 NE 40th Place Unit G2,Redmond,WA,98052,47.6471715,-122.1063585,Condo/Co-op,,,,,,,
3,/WA/Redmond/9474-Redmond-Woodinville-Rd-NE-98052/unit-A303/home/48741,239000,9474 Redmond Woodinville Rd NE Unit A303,Redmond,WA,98052,47.685359,-122.12469,Condo/Co-op,1,1,677,,,1980,1980
4,/WA/Carnation/297-NE-52nd-St-98014/home/114065208,350000,297 NE 52nd St,Carnation,WA,98014,47.652425,-121.962819,Vacant Land,,,,,,,
5,/WA/Redmond/12719-Sun-Break-Way-NE-98053/home/2089744,1050000,12719 Sunbreak Wy NE,Redmond,WA,98053,47.7130766,-122.0347345,Single Family Residential,2,2.5,2300,,0.13,2005,
6,/WA/Redmond/18023-NE-99th-Ct-98052/home/323761,995000,18023 NE 99th Ct,Redmond,WA,98052,47.689412,-122.1025834,Single Family Residential,4,2.5,2440,,0.29,1990,
7,/WA/Kirkland/9937-137th-Pl-NE-98034/home/105659135,1059000,9937 137th Place NE,Kirkland,WA,98033,47.6889493,-122.1584996,Single Family Residential,3,2.5,2330,,0.12,2016,
8,/WA/Redmond/8507-246th-Ln-NE-98053/home/2062467,1587600,8507 246th Lane NE,Redmond,WA,98053,47.6781413,-122.0117811,Single Family Residential,4,3.5,4410,0,1.63,2005,
9,/WA/Kirkland/10038-132nd-Ave-NE-98033/home/513683,998000,10038 132nd Ave NE,Kirkland,WA,98033,47.6905615,-122.1644995,Single Family Residential,4,2,2280,,0.62,1952,
10,/WA/Redmond/16910-NE-104th-Ct-98052/home/325339,775000,16910 NE 104th Ct,Redmond,WA,98052,47.6938859,-122.1144373,Single Family Residential,2,1.5,1760,,0.26,1968,2005
11,/WA/Redmond/23914-NE-Adair-Rd-98053/home/2096449,649000,23914 NE Adair Rd,Redmond,WA,98053,47.7089209,-122.019761,Condo/Co-op,3,2.5,1810,,,2005,
12,/WA/Redmond/18121-NE-22nd-St-98052/home/505607,849950,18121 NE 22nd St,Redmond,WA,98052,47.6296789,-122.0978245,Single Family Residential,3,2.5,1810,550,0.17,1974,
13,/WA/Redmond/8535-Avondale-Rd-NE-98052/unit-A103/home/28495084,549000,8535 Avondale Rd NE Unit A103,Redmond,WA,98052,47.6790462,-122.1045767,Condo/Co-op,2,2,1094,,,2009,2009
14,/WA/Redmond/6825-205th-Ave-NE-98053/home/145314173,799000,6825 205th Ave NE,Redmond,WA,98053,47.6674565,-122.0664316,Single Family Residential,,,,,,,
15,/WA/Redmond/24726-NE-52nd-Pl-98053/home/447444,825000,24726 NE 52nd Place,Redmond,WA,98053,47.6558467,-122.0089495,Single Family Residential,3,2,1420,,2.77,1991,
